Brand,tar,nicotine
Brand1,3,0.3
Brand2,14,1.2
Brand3,16,1.3
Brand4,10,1
Brand5,18,1.4
Brand6,13,1.2
Brand7,1,0.1
Brand8,10,0.9
Brand9,16,1.3
Brand10,13,1.1
Brand11,15,1.2
Brand12,12,1
Brand13,8,0.9
Brand14,12,1.3
Brand15,13,1.2
Brand16,15,1.3
Brand17,12.9,0.89
Brand18,16,1.2
Brand19,17,1.3
Brand20,4,0.4
Brand21,13,1.1
Brand22,3,0.4
Brand23,1,0.2
Brand24,13,1.1
Brand25,16,1.3
Brand26,11,1
Brand27,16,1.3
Brand28,16,1.3
Brand29,19,1.4
Brand30,10,1.1
Brand31,16,1.2
Brand32,16,1.2
Brand33,9,1
Brand34,4,0.5
Brand35,0.7,0.09
